"ID","Indicator","Red","Green","Blue"
58848,"0",155,126,105
58849,"0",195,141,107
58850,"0",119,112,83
58851,"0",110,100,74
58852,"0",158,134,108
58853,"0",198,142,109
58854,"0",159,133,112
58855,"0",200,147,108
58856,"0",108,98,74
58857,"0",108,99,77
58858,"0",204,151,108
58859,"0",111,104,82
58860,"0",158,130,110
58861,"0",109,102,81
58862,"0",158,131,105
58863,"0",114,110,83
58864,"0",206,149,109
58865,"0",115,112,84
58866,"0",114,110,84
58867,"0",208,145,109
58868,"0",159,133,103
58869,"0",210,142,109
58870,"0",159,132,102
58871,"0",114,109,82
58872,"0",155,128,99
58873,"0",210,147,109
58874,"0",109,107,80
58875,"0",105,99,79
58876,"0",210,151,109
58877,"0",99,92,76
58878,"0",149,120,95
58879,"0",144,116,94
58880,"0",97,86,71
58881,"0",211,154,110
58882,"0",96,89,73
58883,"0",142,108,90
58884,"0",205,147,108
58885,"0",95,83,74
58886,"0",98,85,80
58887,"0",205,143,109
58888,"0",141,118,91
58889,"0",109,93,81
58890,"0",124,103,88
58891,"0",140,127,102
58892,"0",205,140,111
58893,"0",142,124,95
58894,"0",210,146,113
58895,"0",151,143,115
58896,"0",144,127,96
58897,"0",170,156,123
58898,"0",145,127,97
58899,"0",182,169,120
58900,"0",218,156,115
58901,"0",196,169,126
58902,"0",142,124,98
58903,"0",225,164,117
58904,"0",209,177,131
58905,"0",207,169,123
58906,"0",142,119,98
58907,"0",231,169,120
58908,"0",146,120,96
58909,"0",230,165,120
58910,"0",214,171,122
58911,"0",202,160,115
58912,"0",238,173,123
58913,"0",196,148,108
58914,"0",153,123,97
58915,"0",188,126,96
58916,"0",158,128,101
58917,"0",244,177,126
58918,"0",185,130,100
58919,"0",182,138,102
58920,"0",248,177,129
58921,"0",162,133,102
58922,"0",181,144,112
58923,"0",252,176,129
58924,"0",165,134,101
58925,"0",192,156,123
58926,"0",194,156,122
58927,"0",165,136,101
58928,"0",255,176,129
58929,"0",165,139,104
58930,"0",186,155,116
58931,"0",189,152,118
58932,"0",255,180,129
58933,"0",173,140,108
58934,"0",252,177,124
58935,"0",166,142,111
58936,"0",175,138,105
58937,"0",155,121,98
58938,"0",168,148,111
58939,"0",251,176,123
58940,"0",164,142,105
58941,"0",237,171,122
58942,"0",150,119,94
58943,"0",148,120,92
58944,"0",224,163,119
58945,"0",151,131,98
58946,"0",147,117,89
58947,"0",210,154,115
58948,"0",148,114,90
58949,"0",152,118,94
58950,"0",135,110,90
58951,"0",198,142,112
58952,"0",125,101,86
58953,"0",158,129,97
58954,"0",161,135,98
58955,"0",165,132,98
58956,"0",131,108,89
58957,"0",186,134,108
58958,"0",152,129,96
58959,"0",150,133,100
58960,"0",174,131,104
58961,"0",156,133,97
58962,"0",164,121,92
58963,"0",144,123,95
58964,"0",169,157,112
58965,"0",161,114,85
58966,"0",181,167,117
58967,"0",141,118,91
58968,"0",142,122,89
58969,"0",138,126,92
58970,"0",184,171,119
58971,"0",158,107,87
58972,"0",135,124,92
58973,"0",157,110,90
58974,"0",138,123,91
58975,"0",187,160,117
58976,"0",186,157,118
58977,"0",157,119,92
58978,"0",137,123,90
58979,"0",138,121,93
58980,"0",193,166,122
58981,"0",157,125,99
58982,"0",133,122,91
58983,"0",160,133,106
58984,"0",142,121,97
58985,"0",137,116,93
58986,"0",202,175,124
58987,"0",203,185,132
58988,"0",141,121,95
58989,"0",172,143,109
58990,"0",145,125,96
58991,"0",154,138,103
58992,"0",200,189,131
58993,"0",183,156,114
58994,"0",164,148,110
58995,"0",187,167,119
58996,"0",190,168,119
58997,"0",186,175,124
58998,"0",174,160,120
58999,"0",169,147,108
59000,"0",186,175,124
59001,"0",188,176,125
59002,"0",183,169,121
59003,"0",135,118,96
59004,"0",180,173,120
59005,"0",108,93,86
59006,"0",176,161,116
59007,"0",179,157,116
59008,"0",94,84,78
59009,"0",167,145,111
59010,"0",171,143,110
59011,"0",172,148,111
59012,"0",160,137,108
59013,"0",171,150,114
59014,"0",93,83,75
59015,"0",173,148,112
59016,"0",163,145,109
59017,"0",92,84,75
59018,"0",147,127,105
59019,"0",91,82,75
59020,"0",148,131,99
59021,"0",153,130,103
59022,"0",159,135,104
59023,"0",136,118,92
59024,"0",93,81,73
59025,"0",135,118,88
59026,"0",165,147,107
59027,"0",93,81,73
59028,"0",134,122,89
59029,"0",164,153,111
59030,"0",97,83,76
59031,"0",139,125,93
59032,"0",136,124,92
59033,"0",161,153,112
59034,"0",102,91,80
59035,"0",144,120,93
59036,"0",142,123,95
59037,"0",112,98,84
59038,"0",144,118,92
59039,"0",155,141,107
59040,"0",141,116,92
59041,"0",146,131,99
59042,"0",115,105,88
59043,"0",140,118,93
59044,"0",116,102,92
59045,"0",136,120,92
59046,"0",139,119,93
59047,"0",126,103,93
59048,"0",140,120,93
59049,"0",142,121,92
59050,"0",126,108,89
59051,"0",122,103,86
59052,"0",146,110,95
59053,"0",138,120,90
59054,"0",124,110,87
59055,"0",159,132,111
59056,"0",127,114,89
59057,"0",123,105,83
59058,"0",118,105,83
59059,"0",116,102,81
59060,"0",123,109,85
59061,"0",144,126,109
59062,"0",140,124,114
59063,"0",115,103,81
59064,"0",125,111,87
59065,"0",136,120,92
59066,"0",117,111,83
59067,"0",114,109,82
59068,"0",137,112,112
59069,"0",120,111,83
59070,"0",139,120,93
59071,"0",136,108,100
59072,"0",129,108,102
59073,"0",121,113,86
59074,"0",124,118,89
59075,"0",142,120,94
59076,"0",144,122,95
59077,"0",124,119,91
59078,"0",126,111,105
59079,"0",125,120,90
59080,"0",131,114,111
59081,"0",145,123,95
59082,"0",124,118,90
59083,"0",123,119,89
59084,"0",147,125,95
59085,"0",132,116,115
59086,"0",123,121,89
59087,"0",144,123,95
59088,"0",125,114,111
59089,"0",121,118,89
